Sector
食料品
非鉄金属
電気機器
電気・ガス業
陸運業
鉱業
鉄鋼
金属製品
輸送用機器
繊維製品
精密機器
空運業
石油・石炭製品
海運業
水産・農林業
機械
情報・通信業
建設業
小売業
外国法人・組合
外国政府等
卸売業
医薬品
化学
倉庫・運輸関連
不動産業
パルプ・紙
サービス業
ゴム製品
ガラス・土石製品
その他製品
